id,corporation_id,name,level
83455083,46113,TRANSACTIONS,L
83455084,46113,CUSTOMERS,L
54889,46113,FOOD (SALES),L
68557,46113,LIQUOR - COVERS,L
68422,46113,OTHER - COVERS,L
68420,46113,MERCHANDISE - COVERS,L
68416,46113,BEVERAGE - COVERS,L
68418,46113,BAR - COVERS,L
45287,46113,SALES,L
46466,46113,ITEMS,L
68413,46113,FOOD - GROSS SALES,L
68414,46113,FOOD - COVERS,L
68421,46113,OTHER - GROSS SALES,L
68556,46113,LIQUOR - GROSS SALES,L
68419,46113,MERCHANDISE - GROSS SALES,L
68415,46113,BEVERAGE - GROSS SALES,L
68417,46113,BAR - GROSS SALES,L
244513,78415,Net Sales,D
244514,78415,Transaction Counts,D
83455702,89766,TOTAL TRANSACTIONS,L
83455257,89766,SALES,D
83455700,89766,ITEMS,D
83455701,89766,DEPARTMENT TRANSACTIONS,D
83456141,90816,DEPARTMENT TRANSACTIONS,L
83455931,90816,Salary Percent,L
83455747,90816,TRANSACTIONS,L
83456140,90816,SALES,D
83455745,90816,NET SALES,D
83455746,90816,ITEMS,D
83455901,91133,DINE IN,D
83455904,91133,BAR,D
83455905,91133,NET SALES,D
83455900,91133,ONLINE ORDERING,D
83455903,91133,DOORDASH,D
83455902,91133,CATERING,D
83455899,91133,KITCHEN PRINTING,D
83456490,91906,Net Sales,D
83456492,91906,Items,D
83456491,91906,Transactions,D
83456624,91908,ROOM SERVICE,D
83456601,91908,PATIO,D
83456476,91908,TAKEOUTTECH 20,D
83456477,91908,GRUBHUB 1,D
83456478,91908,KITCHEN 15,D
83456479,91908,4 BRFC,D
83456480,91908,UBEREATS 9,D
83456481,91908,GUEST ORDERING 10,D
83456482,91908,14 BRFC KIOSK,D
83456483,91908,5 SUSHI BAR & GRILL,D
83456484,91908,MOBY DISH 8,D
83456485,91908,EZCATER 7,D
83456486,91908,2 BRASSERIE,D
83456487,91908,POSTMATES 11,D
83456488,91908,3 SUSHI BAR,D
83456489,91908,NET SALES,D
83456558,91908,SOLARIUM,D
83456559,91908,TOGO,D
83456560,91908,WEB ORDERING,D
83456561,91908,RAW BAR,D
83456562,91908,DINING ROOM,D
83456563,91908,BAR,D
83456598,91908,KITCHEN,D
83456599,91908,SUSHI BAR,D
83456600,91908,BAR DINING ROOM,D
83456602,91908,WEB ORDERS,D
83456603,91908,POOL,D
83456583,91995,NET SALES,D
83456856,91995,Champs Sales,L
83456584,91995,ITEMS,D
83456585,91995,TRANSACTIONS,L
83456696,92250,DINE IN,D
83456674,92250,COUNTER,D
83456695,92250,TO-GO,D
83456801,92250,TO-GO,D
83456694,92250,PHONE,D
83456676,92250,3RD PARTY DELIVERY,D
83456675,92250,BAR,D
83456673,92250,TAKE-OUT,D
83456672,92250,KITCHEN,D
83456671,92250,KIOSK,D
83456677,92250,NET SALES,D
83456741,92274,NO REVENUE CENTER,D
83456689,92274,TAKOUT,D
83456688,92274,OLO CATERING,D
83456687,92274,DINING ROOM,D
83456686,92274,CATERING,D
83456685,92274,UBEREATS,D
83456684,92274,ONLINE ORDERING (OLO),D
83456683,92274,GRUBHUB,D
83456682,92274,CUSHMAN,D
83456681,92274,KIOSK,D
83456742,92274,NET SALES,D
